Line Style,"Variable=Block Ineff, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=4, FillColor=32768, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=1, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ineff, Line Style=1, Line Color=13, Line Width=0.5, Sym Type=1, Sym Color=13, Sym Size=5, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Bank Sta, Line Style=0, Line Color=0, Line Width=0, Sym Type=5, Sym Color=3, Sym Size=5, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=WS1, Line Style=1, Line Color=7, Line Width=0.5, Sym Type=0, Sym Color=7, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=-1, Legend Only=0"
Label,,Ground,Ground,Label,Ineff,Label,Bank Sta,Label,WS 100yr
x,y,Ground_x,Ground_y,x,y,x,y,x,y
524.9436035,1906.568848,0,1925.569946,923.25,1906.404785,8997.280273,1897.199951,524.9436035,1906.568848
893.1884155,1906.568848,31.98999977,1924.560059,923.25,1909.609985,,,893.1884155,1906.568848
895.6900024,1907.359985,47.97999954,1924.72998,,,9957.280273,1896.27002,,
903.6900024,1908.77002,67.98000336,1924.130005,10927.7998,1913.223022,,,918.3077393,1906.568848
911.6799927,1908.640015,87.97000122,1922.130005,10927.7998,1913.469971,,,925.4619141,1906.568848
918.3077393,1906.568848,99.97000122,1921.560059,,,,,,
923.25,1906.568848,131.9499969,1920.569946,,,,,971.3453369,1906.568848
923.25,1906.404785,139.9499969,1920.699951,,,,,9970.612305,1906.568848
919.6799927,1906.140015,179.9400024,1920.420044,,,,,,
911.6799927,1908.640015,195.9299927,1919.800049,,,,,10324.5166,1906.568848
903.6900024,1908.77002,211.9299927,1920.469971,,,,,10661.82129,1906.568848
895.6900024,1907.359985,235.9199982,1918.98999,,,,,,
887.6900024,1904.829956,243.9199982,1916.910034,,,,,11100.7334,1906.568848
863.7000122,1904,251.9100037,1915.75,,,,,11201.17773,1906.568848
827.710022,1903.949951,271.9100037,1915.5,,,,,,
799.7199707,1904.140015,295.8999939,1914.689941,,,,,11587.09277,1906.568848
767.7299805,1903.859985,307.8900146,1914.680054,,,,,11723.42773,1906.568848
715.75,1903.910034,323.8900146,1915.5,,,,,,
687.7600098,1903.680054,347.8800049,1915.969971,,,,,9493.260254,1906.568848
655.7700195,1903.660034,363.8699951,1916.780029,,,,,,
639.7800293,1903.369995,411.8599854,1918.540039,,,,,,
627.7800293,1903.77002,431.8500061,1918.47998,,,,,,
611.789978,1903.719971,451.8399963,1919.280029,,,,,,
599.789978,1904.280029,459.8399963,1920.140015,,,,,,
583.7999878,1904.290039,471.8399963,1920.449951,,,,,,
567.7999878,1902.380005,495.8299866,1918.77002,,,,,,
543.8099976,1902.359985,511.8200073,1914.319946,,,,,,
531.8099976,1903.709961,527.8200073,1904.869995,,,,,,
527.8200073,1904.869995,531.8099976,1903.709961,,,,,,
,,543.8099976,1902.359985,,,,,,
11100.7334,1906.568848,567.7999878,1902.380005,,,,,,
11201.17773,1906.568848,583.7999878,1904.290039,,,,,,
11203.84961,1908.72998,599.789978,1904.280029,,,,,,
11207.84961,1909.609985,611.789978,1903.719971,,,,,,
11239.80957,1908.390015,627.7800293,1903.77002,,,,,,
11267.78027,1907.959961,639.7800293,1903.369995,,,,,,
11291.75,1907.959961,655.7700195,1903.660034,,,,,,
11319.70996,1908.23999,687.7600098,1903.680054,,,,,,
11347.67969,1907.77002,715.75,1903.910034,,,,,,
11379.63965,1907.719971,767.7299805,1903.859985,,,,,,
11407.61035,1910.27002,799.7199707,1904.140015,,,,,,
11431.58008,1911.829956,827.710022,1903.949951,,,,,,
11467.53027,1912.400024,863.7000122,1904,,,,,,
11479.51953,1912.209961,887.6900024,1904.829956,,,,,,
11515.46973,1912.369995,895.6900024,1907.359985,,,,,,
11535.4502,1913.060059,903.6900024,1908.77002,,,,,,
11551.42969,1912.849976,911.6799927,1908.640015,,,,,,
11563.41992,1912.209961,919.6799927,1906.140015,,,,,,
11575.40039,1910.359985,931.6799927,1907.030029,,,,,,
11583.38965,1908.109985,939.6699829,1909.439941,,,,,,
11587.09277,1906.568848,947.6699829,1909.859985,,,,,,
11723.42773,1906.568848,955.6699829,1909.5,,,,,,
11711.23047,1898.599976,971.6599731,1906.51001,,,,,,
11703.24023,1896.219971,979.6599731,1906.160034,,,,,,
11691.25977,1895.939941,1023.640015,1905.449951,,,,,,
11671.28027,1893.439941,1087.619995,1905.410034,,,,,,
11659.2998,1892.540039,1115.609985,1905.199951,,,,,,
11639.32031,1892.199951,1147.599976,1905.22998,,,,,,
11619.34961,1892.719971,1183.589966,1905.02002,,,,,,
11615.34961,1893.550049,1203.579956,1905.130005,,,,,,
11603.37012,1897.949951,1259.560059,1904.959961,,,,,,
11595.37988,1903.119995,1291.550049,1905.130005,,,,,,
11583.38965,1908.109985,1307.540039,1904.959961,,,,,,
11575.40039,1910.359985,1379.52002,1904.949951,,,,,,
11563.41992,1912.209961,1411.51001,1904.719971,,,,,,
11551.42969,1912.849976,1475.47998,1904.849976,,,,,,
11535.4502,1913.060059,1527.469971,1904.800049,,,,,,
11515.46973,1912.369995,1615.060059,1904.47998,,,,,,
11479.51953,1912.209961,1627.430054,1904.569946,,,,,,
11467.53027,1912.400024,1655.420044,1903.780029,,,,,,
11431.58008,1911.829956,1699.410034,1903.810059,,,,,,
11407.61035,1910.27002,1715.400024,1904.52002,,,,,,
11379.63965,1907.719971,1723.400024,1904.219971,,,,,,
11347.67969,1907.77002,1731.390015,1903,,,,,,
11319.70996,1908.23999,1743.390015,1903.089966,,,,,,
11291.75,1907.959961,1763.380005,1902.469971,,,,,,
11267.78027,1907.959961,1787.369995,1899.170044,,,,,,
11239.80957,1908.390015,1827.359985,1899.349976,,,,,,
11207.84961,1909.609985,1847.349976,1899.209961,,,,,,
11203.84961,1908.72998,1891.339966,1899.47998,,,,,,
11191.87012,1899.040039,1915.329956,1899.380005,,,,,,
11187.87012,1896.930054,1955.319946,1899.540039,,,,,,
11179.87988,1894.689941,2007.300049,1899.51001,,,,,,
11123.9502,1892.319946,2043.280029,1899.76001,,,,,,
11119.95996,1893.550049,2095.27002,1899.630005,,,,,,
11111.96973,1898.25,2115.26001,1899.839966,,,,,,
,,2171.23999,1900.050049,,,,,,
,,2215.22998,1899.969971,,,,,,
,,2247.219971,1900.160034,,,,,,
,,2283.199951,1900.130005,,,,,,
,,2399.159912,1900.709961,,,,,,
,,2411.159912,1900.609985,,,,,,
,,2459.139893,1900.910034,,,,,,
,,2479.139893,1900.02002,,,,,,
,,2495.129883,1900.25,,,,,,
,,2511.129883,1899.680054,,,,,,
,,2547.110107,1899.609985,,,,,,
,,2619.090088,1900,,,,,,
,,2635.080078,1900.25,,,,,,
,,2663.070068,1900.160034,,,,,,
,,2703.060059,1900.380005,,,,,,
,,2739.050049,1900.319946,,,,,,
,,2771.040039,1900.469971,,,,,,
,,2879,1900.469971,,,,,,
,,2895,1900.73999,,,,,,
,,2918.98999,1900.550049,,,,,,
,,3054.939941,1901.040039,,,,,,
,,3130.919922,1901.089966,,,,,,
,,3194.889893,1901.420044,,,,,,
,,3274.870117,1901.680054,,,,,,
,,3330.850098,1902.369995,,,,,,
,,3350.840088,1901.780029,,,,,,
,,3398.830078,1901.660034,,,,,,
,,3414.820068,1901.430054,,,,,,
,,3526.780029,1901.390015,,,,,,
,,3602.76001,1900.890015,,,,,,
,,3678.72998,1901.050049,,,,,,
,,3690.72998,1900.810059,,,,,,
,,3730.709961,1900.880005,,,,,,
,,3750.709961,1900.689941,,,,,,
,,3778.699951,1900.910034,,,,,,
,,3818.679932,1900.660034,,,,,,
,,3842.679932,1900.890015,,,,,,
,,3862.669922,1900.619995,,,,,,
,,3894.659912,1900.650024,,,,,,
,,3906.649902,1900.459961,,,,,,
,,3934.639893,1900.640015,,,,,,
,,3946.639893,1900.319946,,,,,,
,,3974.629883,1900.47998,,,,,,
,,4002.620117,1900.27002,,,,,,
,,4082.590088,1900.130005,,,,,,
,,4142.569824,1900.22998,,,,,,
,,4162.560059,1900.040039,,,,,,
,,4194.549805,1900.160034,,,,,,
,,4206.549805,1899.98999,,,,,,
,,4238.540039,1900.069946,,,,,,
,,4322.509766,1899.819946,,,,,,
,,4342.5,1899.680054,,,,,,
,,4418.470215,1899.670044,,,,,,
,,4462.450195,1899.47998,,,,,,
,,4470.450195,1899.75,,,,,,
,,4490.439941,1899.52002,,,,,,
,,4522.430176,1899.47998,,,,,,
,,4574.410156,1899.660034,,,,,,
,,4582.410156,1899.5,,,,,,
,,4614.399902,1899.72998,,,,,,
,,4622.399902,1899.5,,,,,,
,,4682.370117,1899.369995,,,,,,
,,4754.350098,1899.439941,,,,,,
,,4762.339844,1899.22998,,,,,,
,,4830.319824,1899.449951,,,,,,
,,4854.310059,1899.869995,,,,,,
,,4894.299805,1901.76001,,,,,,
,,4926.279785,1902.689941,,,,,,
,,4958.27002,1902.540039,,,,,,
,,4974.27002,1901.97998,,,,,,
,,5022.25,1901.109985,,,,,,
,,5054.240234,1901.099976,,,,,,
,,5078.22998,1900.569946,,,,,,
,,5170.189941,1900.060059,,,,,,
,,5214.180176,1899.930054,,,,,,
,,5262.160156,1899.359985,,,,,,
,,5278.149902,1899.449951,,,,,,
,,5366.120117,1898.609985,,,,,,
,,5374.120117,1898.75,,,,,,
,,5414.100098,1898.369995,,,,,,
,,5422.100098,1898.670044,,,,,,
,,5438.100098,1898.439941,,,,,,
,,5458.089844,1898.589966,,,,,,
,,5502.069824,1898.449951,,,,,,
,,5534.060059,1898.719971,,,,,,
,,5554.049805,1898.619995,,,,,,
,,5586.040039,1898.780029,,,,,,
,,5610.029785,1898.660034,,,,,,
,,5638.02002,1899.01001,,,,,,
,,5686,1899.030029,,,,,,
,,5694,1899.300049,,,,,,
,,5737.97998,1899.23999,,,,,,
,,5765.970215,1899.47998,,,,,,
,,5781.970215,1899.339966,,,,,,
,,5805.959961,1899.709961,,,,,,
,,5897.930176,1900.47998,,,,,,
,,5933.910156,1900.219971,,,,,,
,,5993.890137,1899.560059,,,,,,
,,6021.879883,1899.540039,,,,,,
,,6141.839844,1899.189941,,,,,,
,,6165.830078,1898.890015,,,,,,
,,6173.819824,1899.050049,,,,,,
,,6205.810059,1898.810059,,,,,,
,,6253.799805,1898.699951,,,,,,
,,6269.790039,1898.439941,,,,,,
,,6345.759766,1898.130005,,,,,,
,,6361.759766,1898.280029,,,,,,
,,6421.72998,1897.869995,,,,,,
,,6453.720215,1897.880005,,,,,,
,,6481.709961,1897.670044,,,,,,
,,6501.700195,1897.849976,,,,,,
,,6545.689941,1897.609985,,,,,,
,,6565.680176,1897.319946,,,,,,
,,6609.669922,1897.22998,,,,,,
,,6645.649902,1896.920044,,,,,,
,,6709.629883,1896.599976,,,,,,
,,6761.609863,1896.47998,,,,,,
,,6849.580078,1895.839966,,,,,,
,,6861.569824,1897.130005,,,,,,
,,6869.569824,1897.469971,,,,,,
,,6881.560059,1896.219971,,,,,,
,,6889.560059,1896.02002,,,,,,
,,6905.560059,1896.75,,,,,,
,,6925.549805,1896.449951,,,,,,
,,6937.540039,1896.859985,,,,,,
,,6969.540039,1896.709961,,,,,,
,,6989.540039,1897.550049,,,,,,
,,7005.540039,1897.51001,,,,,,
,,7041.529785,1896.890015,,,,,,
,,7049.529785,1897.050049,,,,,,
,,7065.529785,1896.22998,,,,,,
,,7125.52002,1896.810059,,,,,,
,,7149.52002,1897.969971,,,,,,
,,7157.52002,1898.619995,,,,,,
,,7197.509766,1897.660034,,,,,,
,,7221.509766,1897.869995,,,,,,
,,7233.509766,1895.97998,,,,,,
,,7249.509766,1891.910034,,,,,,
,,7253.509766,1891.670044,,,,,,
,,7269.5,1895.569946,,,,,,
,,7277.5,1896.800049,,,,,,
,,7353.490234,1896.310059,,,,,,
,,7409.490234,1896.420044,,,,,,
,,7445.47998,1896.150024,,,,,,
,,7509.47998,1896.199951,,,,,,
,,7533.470215,1896.050049,,,,,,
,,7613.459961,1896.119995,,,,,,
,,7641.459961,1895.939941,,,,,,
,,7725.450195,1895.839966,,,,,,
,,7759.959961,1895.569946,,,,,,
,,7785.439941,1895.219971,,,,,,
,,7801.439941,1895.390015,,,,,,
,,7809.439941,1896.329956,,,,,,
,,7821.439941,1893.170044,,,,,,
,,7829.439941,1892.859985,,,,,,
,,7841.439941,1894.130005,,,,,,
,,7849.439941,1893.420044,,,,,,
,,7865.430176,1889.329956,,,,,,
,,7881.430176,1888.72998,,,,,,
,,7901.430176,1892.439941,,,,,,
,,7933.430176,1892.829956,,,,,,
,,7941.430176,1893.339966,,,,,,
,,7969.419922,1892.290039,,,,,,
,,7993.419922,1894.359985,,,,,,
,,8005.419922,1894.599976,,,,,,
,,8025.419922,1894.219971,,,,,,
,,8045.410156,1894.939941,,,,,,
,,8077.410156,1894.359985,,,,,,
,,8097.410156,1894.77002,,,,,,
,,8129.399902,1894.540039,,,,,,
,,8141.399902,1895.199951,,,,,,
,,8161.399902,1895.300049,,,,,,
,,8173.399902,1894.969971,,,,,,
,,8193.400391,1893.27002,,,,,,
,,8201.389648,1892.949951,,,,,,
,,8213.389648,1893.27002,,,,,,
,,8241.389648,1892.609985,,,,,,
,,8253.389648,1892.589966,,,,,,
,,8273.379883,1892.01001,,,,,,
,,8289.379883,1892.410034,,,,,,
,,8313.379883,1894.880005,,,,,,
,,8325.370117,1895.630005,,,,,,
,,8333.370117,1895.160034,,,,,,
,,8345.370117,1895.26001,,,,,,
,,8429.360352,1894.650024,,,,,,
,,8445.360352,1894.430054,,,,,,
,,8477.349609,1894.97998,,,,,,
,,8513.349609,1894.48999,,,,,,
,,8529.339844,1894.869995,,,,,,
,,8537.339844,1894.47998,,,,,,
,,8553.339844,1894.859985,,,,,,
,,8569.339844,1896.439941,,,,,,
,,8597.330078,1895.930054,,,,,,
,,8617.330078,1896.290039,,,,,,
,,8641.330078,1895.819946,,,,,,
,,8649.330078,1896.160034,,,,,,
,,8665.330078,1895.630005,,,,,,
,,8673.320313,1895.829956,,,,,,
,,8701.320313,1895.160034,,,,,,
,,8721.320313,1895.400024,,,,,,
,,8733.320313,1895.170044,,,,,,
,,8789.30957,1895.349976,,,,,,
,,8813.299805,1896.030029,,,,,,
,,8849.299805,1895.660034,,,,,,
,,8873.290039,1895.810059,,,,,,
,,8893.290039,1896.329956,,,,,,
,,8913.290039,1895.119995,,,,,,
,,8933.290039,1895.199951,,,,,,
,,8945.290039,1895.920044,,,,,,
,,8961.280273,1895.859985,,,,,,
,,8985.280273,1897.119995,,,,,,
,,8997.280273,1897.199951,,,,,,
,,9009.370117,1896.27002,,,,,,
,,9017.280273,1894.719971,,,,,,
,,9029.280273,1887.150024,,,,,,
,,9033.280273,1885.51001,,,,,,
,,9044.179688,1882.949951,,,,,,
,,9057.280273,1876.209961,,,,,,
,,9117.280273,1876.209961,,,,,,
,,9157.280273,1883.699951,,,,,,
,,9181.280273,1884.339966,,,,,,
,,9217.280273,1885.670044,,,,,,
,,9261.280273,1885.550049,,,,,,
,,9329.280273,1883.800049,,,,,,
,,9357.280273,1883.439941,,,,,,
,,9425.280273,1882.280029,,,,,,
,,9445.280273,1876.209961,,,,,,
,,9929.240234,1876.209961,,,,,,
,,9937.280273,1881.410034,,,,,,
,,9945.280273,1884.98999,,,,,,
,,9957.280273,1896.27002,,,,,,
,,9965.280273,1902.890015,,,,,,
,,9973.280273,1908.410034,,,,,,
,,9977.280273,1909.170044,,,,,,
,,9987.879883,1908.800049,,,,,,
,,10033.28027,1908.660034,,,,,,
,,10053.25977,1908.349976,,,,,,
,,10109.19043,1907.949951,,,,,,
,,10141.15039,1907.530029,,,,,,
,,10165.12012,1907.930054,,,,,,
,,10177.11035,1908.430054,,,,,,
,,10197.08008,1908.599976,,,,,,
,,10213.07031,1907.890015,,,,,,
,,10233.04004,1907.569946,,,,,,
,,10265,1908.189941,,,,,,
,,10280.98047,1907.930054,,,,,,
,,10312.94043,1908.27002,,,,,,
,,10320.92969,1907.599976,,,,,,
,,10324.92969,1906.449951,,,,,,
,,10336.91016,1900.910034,,,,,,
,,10340.91016,1900.5,,,,,,
,,10352.88965,1901.089966,,,,,,
,,10360.87988,1900.369995,,,,,,
,,10384.86035,1894.5,,,,,,
,,10392.84961,1890.199951,,,,,,
,,10400.83984,1887.810059,,,,,,
,,10428.7998,1884.26001,,,,,,
,,10436.79004,1884.47998,,,,,,
,,10448.78027,1886.949951,,,,,,
,,10460.75977,1892.72998,,,,,,
,,10476.74023,1905.069946,,,,,,
,,10480.74023,1906.339966,,,,,,
,,10520.69043,1905.369995,,,,,,
,,10548.66016,1904.930054,,,,,,
,,10588.61035,1905.449951,,,,,,
,,10616.57031,1905.140015,,,,,,
,,10636.5498,1905.310059,,,,,,
,,10660.51953,1906.449951,,,,,,
,,10684.49023,1908.640015,,,,,,
,,10716.4502,1909.780029,,,,,,
,,10764.38965,1909.390015,,,,,,
,,10776.37988,1909.73999,,,,,,
,,10808.33984,1909.619995,,,,,,
,,10836.2998,1911.459961,,,,,,
,,10868.25977,1912.26001,,,,,,
,,10880.25,1911.869995,,,,,,
,,10892.24023,1912.869995,,,,,,
,,10916.20996,1913.47998,,,,,,
,,10944.16992,1912.859985,,,,,,
,,10964.15039,1912.140015,,,,,,
,,10984.12012,1913.48999,,,,,,
,,11020.08008,1912.890015,,,,,,
,,11064.03027,1913.150024,,,,,,
,,11088,1912.790039,,,,,,
,,11095.99023,1910.079956,,,,,,
,,11111.96973,1898.25,,,,,,
,,11119.95996,1893.550049,,,,,,
,,11123.9502,1892.319946,,,,,,
,,11179.87988,1894.689941,,,,,,
,,11187.87012,1896.930054,,,,,,
,,11191.87012,1899.040039,,,,,,
,,11203.84961,1908.72998,,,,,,
,,11207.84961,1909.609985,,,,,,
,,11239.80957,1908.390015,,,,,,
,,11267.78027,1907.959961,,,,,,
,,11291.75,1907.959961,,,,,,
,,11319.70996,1908.23999,,,,,,
,,11347.67969,1907.77002,,,,,,
,,11379.63965,1907.719971,,,,,,
,,11407.61035,1910.27002,,,,,,
,,11431.58008,1911.829956,,,,,,
,,11467.53027,1912.400024,,,,,,
,,11479.51953,1912.209961,,,,,,
,,11515.46973,1912.369995,,,,,,
,,11535.4502,1913.060059,,,,,,
,,11551.42969,1912.849976,,,,,,
,,11563.41992,1912.209961,,,,,,
,,11575.40039,1910.359985,,,,,,
,,11583.38965,1908.109985,,,,,,
,,11595.37988,1903.119995,,,,,,
,,11603.37012,1897.949951,,,,,,
,,11615.34961,1893.550049,,,,,,
,,11619.34961,1892.719971,,,,,,
,,11639.32031,1892.199951,,,,,,
,,11659.2998,1892.540039,,,,,,
,,11671.28027,1893.439941,,,,,,
,,11691.25977,1895.939941,,,,,,
,,11703.24023,1896.219971,,,,,,
,,11711.23047,1898.599976,,,,,,
,,11727.20996,1909.040039,,,,,,
,,11731.20996,1910.5,,,,,,
,,11751.19043,1910.609985,,,,,,
,,11799.12988,1910.48999,,,,,,
,,11823.09961,1911.130005,,,,,,
,,11831.08984,1910.530029,,,,,,
,,11887.01953,1910.390015,,,,,,
,,11895.00977,1910.670044,,,,,,
,,11922.98047,1910.26001,,,,,,
,,11942.9502,1910.699951,,,,,,
,,11954.94043,1912.170044,,,,,,
,,11966.91992,1912.97998,,,,,,
,,11978.91016,1913.170044,,,,,,
,,12022.84961,1913.030029,,,,,,
,,12038.83008,1913.170044,,,,,,
,,12066.7998,1913.02002,,,,,,
,,12102.75977,1913.180054,,,,,,
,,12126.73047,1913.47998,,,,,,
,,12146.7002,1913.23999,,,,,,
,,12182.66016,1913.420044,,,,,,
,,12198.63965,1913.920044,,,,,,
,,12254.57031,1913.890015,,,,,,
,,12358.08984,1914.459961,,,,,,
,,12366.0498,1914.280029,,,,,,
,,12429.75,1914.459961,,,,,,
,,12497.44043,1915,,,,,,
,,12537.25,1915.02002,,,,,,
,,12608.91992,1915.550049,,,,,,
,,12624.83984,1916,,,,,,
,,12636.79004,1915.050049,,,,,,
,,12648.73047,1916.310059,,,,,,
,,12664.66016,1916.5,,,,,,
,,12672.62012,1915.47998,,,,,,
,,12688.5498,1916.469971,,,,,,
,,12700.49023,1916.290039,,,,,,
,,12720.40039,1916.609985,,,,,,
,,12744.29004,1916.670044,,,,,,
,,12768.17969,1916.310059,,,,,,
,,12780.12012,1916.48999,,,,,,
,,12800.03027,1917.439941,,,,,,
,,12819.94043,1916.550049,,,,,,
,,12839.83984,1917.380005,,,,,,
,,12871.69043,1917.599976,,,,,,
,,12927.42969,1918.22998,,,,,,
,,12975.20996,1919.22998,,,,,,
